reporting_period,number_flights_matched,actual_flights_unmatched,number_flights_cancelled,flights_more_than_15_minutes_early_percent,flights_15_minutes_early_to_1_minute_early_percent,flights_0_to_15_minutes_late_percent,flights_between_16_and_30_minutes_late_percent,flights_between_31_and_60_minutes_late_percent,flights_between_61_and_120_minutes_late_percent,flights_between_121_and_180_minutes_late_percent,flights_between_181_and_360_minutes_late_percent,flights_more_than_360_minutes_late_percent,average_delay_mins,arrival_departure_A,arrival_departure_D,scheduled_charter_C,scheduled_charter_S
202201,2,0,0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,45.0,1,0,0,1
202201,2,0,0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,26.0,1,0,0,1
202201,2,0,0,0.0,0.0,50.0,0.0,50.0,0.0,0.0,0.0,0.0,18.0,1,0,0,1
202201,2,0,0,0.0,0.0,50.0,0.0,0.0,0.0,50.0,0.0,0.0,68.0,1,0,0,1
202201,1,0,0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,53.0,1,0,0,1
202201,3,0,0,0.0,33.333333,33.333333,0.0,0.0,33.333333,0.0,0.0,0.0,39.0,1,0,0,1
202201,1,0,0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,48.0,0,1,1,0
202201,2,0,0,0.0,0.0,50.0,0.0,50.0,0.0,0.0,0.0,0.0,24.0,1,0,1,0
202201,1,0,0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,35.0,1,0,0,1
202201,4,0,0,25.0,0.0,50.0,0.0,0.0,25.0,0.0,0.0,0.0,27.0,1,0,1,0
202201,3,0,0,0.0,66.666667,0.0,0.0,33.333333,0.0,0.0,0.0,0.0,16.0,0,1,0,1
202201,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,130.0,1,0,0,1
202201,3,0,0,0.0,0.0,66.666667,33.333333,0.0,0.0,0.0,0.0,0.0,18.0,1,0,0,1
202201,2,0,0,0.0,50.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,21.0,1,0,0,1
202201,1,0,0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,24.0,1,0,0,1
202201,1,0,0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,16.0,1,0,0,1
202201,12,0,0,33.333333,16.666667,16.666667,25.0,0.0,8.333333,0.0,0.0,0.0,16.0,1,0,0,1
202201,11,0,0,27.272727,36.363636,9.090909,9.090909,9.090909,0.0,9.090909,0.0,0.0,21.0,1,0,0,1
202201,1,0,0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,28.0,0,1,1,0
202201,6,0,0,16.666667,33.333333,16.666667,16.666667,0.0,0.0,16.666667,0.0,0.0,32.0,1,0,1,0
202201,9,0,0,0.0,44.444444,11.111111,22.222222,0.0,11.111111,11.111111,0.0,0.0,34.0,1,0,0,1
202201,5,0,1,16.666667,16.666667,16.666667,16.666667,0.0,0.0,16.666667,0.0,0.0,33.0,1,0,0,1
202201,9,0,0,0.0,11.111111,55.555556,22.222222,11.111111,0.0,0.0,0.0,0.0,16.0,1,0,0,1
202201,2,0,0,0.0,0.0,0.0,50.0,50.0,0.0,0.0,0.0,0.0,36.0,1,0,0,1
202201,7,0,0,0.0,28.571429,28.571429,28.571429,0.0,14.285714,0.0,0.0,0.0,16.0,1,0,0,1
